name,lat,lon
"Wayne, Indiana",39.8638778,-85.0198586
"Guernsey, Wyoming",42.2694652,-104.7414715
"Leesburg, Virginia",39.1026092,-77.5590106451901
"Columbus, Mississippi",33.507352,-88.4047342638993
"Prior Lake, Minnesota",44.7133271,-93.4226873
"Atlantic Highlands, New Jersey",40.4078865,-74.034306
"West Liberty, Kentucky",37.9207761,-83.262203
"Prospect Heights, Illinois",42.0953049,-87.9375694
"Runnemede, New Jersey",39.8523358,-75.0679498
"Mountain View, California",37.3855745,-122.08205
"Point Pleasant Beach, New Jersey",40.0916529,-74.0480188
"Whitefish Bay, Wisconsin",43.1133445,-87.9000856
"Winchester, California",33.7193845,-117.063281109757
"Mays Landing, New Jersey",39.4523326,-74.727661
"Holland, Pennsylvania",40.1728871,-74.9926688
"Bloomfield, New Jersey",40.806767,-74.1854226
"Manchester, Kentucky",37.1537007,-83.7618641
"Allentown, Pennsylvania",40.6022059,-75.4712794
"Patterson, New York",41.513726,-73.6062323
"Stillwater, Oklahoma",36.1156306,-97.0585717
"Harlan, Iowa",41.6532994,-95.3250603
"South Fork, North Carolina",36.0898596,-80.3183851
"Liverpool, New York",43.106456,-76.2177046
"Chattanooga, Tennessee",35.0456297,-85.3096801
Georgia Tech,33.776033,-84.3988407100158
"Kearny, New Jersey",40.7684342,-74.1454214
"Leominster, Massachusetts",42.5250906,-71.759794
"Temecula, California",33.4946353,-117.1473661
"Novato, California",38.1061979,-122.5681191
"Nanuet, New York",41.0887073,-74.013473
"Palm Springs, California",33.8345281,-116.5389475
"Rapid City, South Dakota",44.0811755,-103.228006
"Burlingame, California",37.5841026,-122.3660825
"Lomita, California",33.7924421,-118.3144385
"Annville, Pennsylvania",40.3295901,-76.515226
"McAlester, Oklahoma",34.9334981,-95.7697934
"Parkland, Florida",26.3100794,-80.23727
"Irvington, New York",41.0350625,-73.8648139950714
"Rancho Santa Margarita, California",33.640855,-117.603104
"Chesapeake, Virginia",36.8190369,-76.2749399
"Slatington, Pennsylvania",40.7484285,-75.6118529
"Shippensburg, Pennsylvania",40.0562262,-77.5139074
"Lenexa, Kansas",38.9536174,-94.7335709
"North Ridgeville, Ohio",41.3894905,-82.0190321
"Simi Valley, California",34.2694474,-118.781482
"Greeley, Colorado",40.4233142,-104.7091322
"Fort Bragg, North Carolina",35.1422775,-78.9987277869195
"Paducah, Kentucky",37.0833893,-88.6000478
"Mooresville, North Carolina",35.570746,-80.818299197542
"Montrose, Michigan",43.1766935,-83.8927439
"Jasper, Indiana",41.0321808,-87.1066598
"St. Louis, Missouri",38.6272733,-90.1978889
"Henry County, Georgia",33.473143,-84.1197869118915
"North Olmsted, Ohio",41.4156025,-81.9234726
"Tarrant, Alabama",33.5950685,-86.7677093155039
"St. Johnsbury, Vermont",44.4192249,-72.0150951
"Valley Springs, California",38.1847255,-120.807103832756
"Miami Shores, Florida",25.8631515,-80.1928253
"Pequea, Pennsylvania",39.8881566,-76.367183
"San Carlos, California",37.4982065,-122.266149723864
"Moreno Valley, California",33.937517,-117.2305944
"Lafayette, Louisiana",30.2240897,-92.0198427
"Gorham, Maine",43.6795245,-70.4442187
"Mahopac, New York",41.372316,-73.733465
"Altadena, California",34.1863161,-118.1352329
"Orland Hills, Illinois",41.5853107,-87.8431078
"Madison, Tennessee",35.6055887,-88.852119
"Springfield, Arkansas",35.2675809,-92.5576595
"Brentwood, Tennessee",36.0325687,-86.7825235
"Frisco, Texas",33.1506744,-96.8236116
"Plainfield, Indiana",39.7042123,-86.3994387
"Mequon, Wisconsin",43.2219088,-87.9822969
"Stamford, Connecticut",41.0534302,-73.5387341
"Madison, Indiana",40.1624531,-85.7260804
"Thompson, Connecticut",41.9587089,-71.8625715
"Greeneville, Tennessee",36.1631575,-82.8309861
"Mansfield Center, Connecticut",41.7653764,-72.1981334
"Loma Linda, California",34.075631,-117.249959903289
"Griffin, Georgia",33.2467807,-84.2640904
"Chilton, Texas",31.2801759,-97.0641616
"Woodbury, New York",41.3645382,-74.1059775
"La Puente, California",34.01979,-117.9503677
"Park Ridge, Illinois",42.0111412,-87.8406192
"Beacon, New York",41.504879,-73.9696822
"Lakewood, New Jersey",40.092024,-74.2121963562147
"Placentia, California",33.8714814,-117.8617337
"Pensacola, Florida",30.421309,-87.2169149
"Mundelein, Illinois",42.263079,-88.0039653
"Rancho San Diego, California",32.76105,-116.926450087675
"Trout Valley, Illinois",42.1980798,-88.2534159
"South Hamilton, Massachusetts",42.6070387,-70.878661
"Manahawkin, New Jersey",39.695397,-74.2587527
"Evergreen, Colorado",39.6361637,-105.321457878674
"Northfield, Massachusetts",42.6959174,-72.4528653
"Mount Laurel, New Jersey",39.934002,-74.8909988
"East Providence, Rhode Island",41.8137116,-71.3700545
"Fallon, Nevada",39.4738129,-118.7783956
"Wellington, Florida",26.6586779,-80.2414357
"Madison Heights, Michigan",42.4858692,-83.1052028
"Jefferson, Georgia",33.0380388,-82.436141
"Mounds View, Minnesota",45.1068949,-93.2075931
"East Syracuse, New York",43.0653446,-76.0785332
"Salinas, California",36.6777078,-121.6560114
"Owasso, Oklahoma",36.2661536,-95.8549456
"Branford, Connecticut",41.2795414,-72.8150989
"Wilder, Vermont",43.6751092,-72.3082007
"Hershey, Pennsylvania",40.2854881,-76.6506001
"Del Rey Oaks, California",36.5932934,-121.8349515
"Costa Mesa, California",33.6633386,-117.903317
"Holden, Massachusetts",42.3517586,-71.8634062
"Columbia, Tennessee",35.6150716,-87.0352831
"Hanover, New Hampshire",43.7033561,-72.2885718
"El Dorado Hills, California",38.67950505,-121.059365948901
"Terryville, Connecticut",41.6777725,-73.0078532079657
"Lewisville, Texas",33.046233,-96.994174
"Flowery Branch, Georgia",34.192225,-83.9163409
"El Cerrito, California",33.8410146,-117.52079768812
"Bowie, Maryland",39.0067768,-76.7791365
"South Philadelphia, Pennsylvania",39.952335,-75.163789
"Kentfield, California",37.9519958,-122.5572116
"Quarry Hill, Vermont",43.8672885,-72.6151016
"Bayside, New York",40.7684351,-73.7770774
"Carlisle, Massachusetts",42.5292597,-71.3495046
"Churchton, Maryland",38.8026161,-76.5369022
"Belcamp, Maryland",39.4689979,-76.2332887
"Ham Lake, Minnesota",45.2502429,-93.2499508
"West Bloomfield, Michigan",42.5378124,-83.2329863
"La Jolla, California",32.8472711,-117.2742086
"Ervindale, Iowa",42, -93
"Salisbury, North Carolina",35.6709727,-80.4742261
"Cimarron, Kansas",37.8066881,-100.3482003
"Ronkonkoma, New York",40.80738935,-73.1359920380648
"Redmond, Washington",47.6694141,-122.1238767
"Kent, Washington",47.3826903,-122.2270272
"Vancouver, Washington",45.6306954,-122.6744557
"Clinton, Iowa",41.8444735,-90.1887379
"Brooklyn, New York",40.6501038,-73.9495823
"Quincy, Massachusetts",42.2528772,-71.0022705
"Castine, Maine",44.3878547,-68.7997522
"Hartford, Connecticut",41.7634935,-72.6830523
"Hillsboro, Oregon",45.5228939,-122.989827
"Chelmsford, Massachusetts",42.5998139,-71.3672838
"Clarkdale, Georgia",33.8314631,-84.653944
"Montgomery, Alabama",32.3669656,-86.3006485
"Glen Burnie, Maryland",39.1626298,-76.6250756
"Kent, Connecticut",41.9808229,-72.3653596
"Malvern, Pennsylvania",40.036202,-75.5138959
"Kensington, Maryland",39.0256717,-77.0763375
"Glendale, Arizona",33.558997,-112.404682963895
"Carterville, Illinois",37.7597872,-89.0774278
"Front Royal, Virginia",38.9178538,-78.1917718
"Euless, Texas",32.8370727,-97.0819541
"Stanton, Iowa",40.9816579,-95.1041535
the University of Delaware,39.6810328,-75.7540184
"Bridgewater, New Jersey",39.8645566,-75.3979709
"Cardiff, California",33.6879102,-117.8071468
"McGrady, North Carolina",36.3434633,-81.2248122
"Mountlake Terrace, Washington",47.7909667,-122.3066395
"Seaford, New York",40.6659344,-73.4881809
"Arvada, Colorado",39.8211225,-105.220742890446
"Steep Falls, Maine",43.7939652,-70.6525582
"Hurley, New York",41.9274787,-74.0679984
"Corona, California",37.0066161,-121.9969063
"Chicago, Illinois",41.8755546,-87.6244212
"Newark, California",37.5296593,-122.0402399
"Fair Lawn, New Jersey",40.9403762,-74.1318096
"Germantown, Maryland",39.1731621,-77.2716502
"Strongsville, Ohio",41.3144733,-81.83511
"Norfolk, California",52.6730486,1.717918
"Berkeley Heights, New Jersey",40.6834349,-74.442653
"North Pole, Alaska",64.753289,-147.356835169061
"Fairmont, West Virginia",39.4850848,-80.1425781
"Home, Pennsylvania",40.7395087,-79.1053129
"Holliston, Massachusetts",42.2000966,-71.4245049
"Lost Nation, Iowa",41.9639095,-90.8176431
"Richmond, Virginia",37.5385087,-77.43428
"Seal Beach, California",33.741176,-118.1046356
"East Amherst, New York",43.0183913,-78.696697
"Willowbrook, Illinois",41.7697533,-87.9358931
West Georgia College,33.7487178,-84.4138167
"Chatsworth, California",34.2595715,-118.6023247
"Clark, New Jersey",40.6233995,-74.3148279
"Gilberts, Illinois",42.1034365,-88.3745145
"Standish, Maine",43.7356006,-70.5509732
"Hendersonville, Tennessee",36.3047735,-86.6199957
"Purcellville, Virginia",39.1367717,-77.7147153
"Port Chester, New York",41.0017643,-73.6656834
"Cumming, Georgia",34.2073196,-84.1401926
"Ocean Springs, Mississippi",30.4112904,-88.8279165
"Churchville, Maryland",39.5612187,-76.2455115
"Hudson Oaks, Texas",32.7570729,-97.7066952
"Bonita, California",32.664798,-117.015961660775
"Manhasset, New York",40.7978787,-73.6995749
"Harrison, Tennessee",35.1136838,-85.1380092
"Cleveland, Tennessee",35.1595182,-84.8766115
"Grafton, Ohio",41.2725522,-82.0545892
"Rock Island, Illinois",41.5094771,-90.5787477
"Grayson, Georgia",33.8942729,-83.95574
"Chepachet, Rhode Island",41.9150986,-71.6714555
"Pittsburg, Kansas",37.4108841,-94.70496
"Brandon, Florida",27.937801,-82.2859247
"Windber, Pennsylvania",40.2397986,-78.8350223
"Andover, Massachusetts",42.65717,-71.1408776
"Navarre, Florida",30.4015879,-86.863571
"Martinez, California",38.0193657,-122.1341321
"Forest Park, Illinois",41.8794758,-87.81367
"Scotts Valley, California",37.0510595,-122.0146841
"North Richland Hills, Texas",32.8342952,-97.2289029
"Burbank, California",34.1816482,-118.3258554
"Santa Ana, California",33.7499595,-117.8732826
"Davie, Florida",26.075729,-80.2841087753086
"Chapel Hill, North Carolina",35.9131996,-79.0558445
"Bloomington, Indiana",39.1670396,-86.5342881
"Crownsville, Maryland",39.0284438,-76.6013536
"Binghamton, New York",42.096968,-75.914341
"Galveston, Texas",29.299328,-94.7945882
"Banner, Wyoming",44.5996868,-106.8677006
"Greensburg, Pennsylvania",40.3014581,-79.5389289
"Blythe, California",33.5602861,-114.912072511561
"Bristol, Connecticut",41.6735889,-72.9463831
the New York Mets,42.5106272,-76.7896763
"Noblesville, Indiana",40.0455918,-86.0085955
"Pittsford, New York",43.0909594,-77.515298
"Shadyside, Ohio",39.9709072,-80.7506399
"Winchester, Massachusetts",42.4523178,-71.1369982
"Glenview, Illinois",42.0700662,-87.8114044
"Grinnell, Iowa",41.7430554,-92.7224206
"Alta Loma, California",34.122887,-117.5985775
"Bridgeport, West Virginia",39.2864787,-80.2561981
"New Haven, Connecticut",41.3082138,-72.9250518
"Waipahu, Hawaii",21.3866667,-158.0091667
"Athens, Georgia",33.9595974,-83.376678
"Sammamish, Washington",47.6088445,-122.0423067
"St. Petersburg, Florida",27.7703796,-82.6695085
"Midwest City, Oklahoma",35.4495097,-97.3967025
"Bellingham, Washington",48.754402,-122.4788602
"Duncanville, Texas",32.6518004,-96.9083366
"Sun Prairie, Wisconsin",43.1834579,-89.2134359
"Salem, Massachusetts",42.5195292,-70.8967226
"Meriden, Connecticut",41.5381535,-72.8070435
"San Pedro, California",33.7358518,-118.2922934
"Fort Bragg, California",39.4447345,-123.802699105743
"Temple City, California",34.1082994,-118.0577568
"Valley Stream, New York",40.6642699,-73.7084645
"Appleton, Wisconsin",44.2611337,-88.4067604
"Norway, Maine",44.2139587,-70.5447825
"Rensselaer, New York",42.7091389,-73.5107732
"Plainfield, Illinois",41.623191,-88.2284324789042
"Linfield, Massachusetts",42.15571,-71.0107599
"Martinez, Georgia",33.5185135,-82.0902080666508
"Palm Coast, Florida",29.5541432,-81.2207673
"Odenton, Maryland",39.0837774,-76.7000224
"Laclede, Idaho",48.1701889,-116.7560286
"Northwestern University from Austin, Texas",30.25, -97.75
"Sonoma, California",38.5110803,-122.8473388
"Dade City, Florida",28.3647248,-82.1959178
"Woodstock, Georgia",34.1014873,-84.5193754
"Chelsea, Michigan",42.3180163,-84.020224
"East Lansing, Michigan",42.7355416,-84.4852469
"Morton, Pennsylvania",39.9098345,-75.3235215
"Fanwood, New Jersey",40.6409358,-74.383484
"Newark, New Jersey",40.735657,-74.1723667
"Santa Monica, California",34.0195598,-118.4869739
"Brush Prairie, Washington",45.7289341,-122.5421437
"Grand Island, Nebraska",40.9250124,-98.342007
"Laurel, Mississippi",31.74096,-89.1338199361911
"Lake Elizabeth, California",34.66613595,-118.399680316707
"West Hills, California",34.2031739,-118.6454659
"Sheboygan, Wisconsin",43.7508284,-87.71453
"Berlin, Massachusetts",42.381204,-71.6370121
"Waynesburg, Pennsylvania",39.8964641,-80.1792299
"Bogart, Georgia",33.949281,-83.534608
"Hendersonville, North Carolina",35.3187279,-82.4609528
"Oak Park, Michigan",42.4594803,-83.1827051
"Riverdale, Maryland",39.0992765,-76.5357962
"Okemos, Michigan",42.721839,-84.428183
Alabama,33.2588817,-86.8295337
"Las Cruces, New Mexico",32.3140354,-106.7798078
"Munhall, Pennsylvania",40.3922914,-79.9000499
"Aberdeen, Idaho",42.9440784,-112.8383265
"Baton Rouge, Louisiana",30.4507462,-91.154551
"Winthrop, Maine",44.3050694,-69.9769954
"Long Island, New York",40.8517821,-73.099185269027
"Huntingdon, Pennsylvania",40.3446332,-78.0281185
"Georgetown, Massachusetts",42.7250918,-70.9911659
"Somerville, Massachusetts",42.3875968,-71.0994968
"Rainbow City, Alabama",33.928922,-86.1399643173833
"Baldwinsville, New York",43.1586786,-76.3327095
"Boynton Beach, Florida",26.5253491,-80.0664309
"Indian Trail, North Carolina",35.0768141,-80.6692352
"Mankato, Minnesota",44.1634663,-93.9993505
"Anaheim, California",33.8347516,-117.911732
"Adel, Iowa",41.6144325,-94.017453
the University of Wisconsin�River Falls,44.858611, -92.625
"Little Rock, Arkansas",34.7464809,-92.2895948
"North Branford, Connecticut",41.3275971,-72.7673198
"West Orange, New Jersey",40.7987113,-74.2390353
"Coudersport, Pennsylvania",41.7701209,-78.0210391
"Richmond Heights, Ohio",41.5528288,-81.5101208
"Suffolk, Virginia",36.7282096,-76.5835703
"Cecil County, Maryland",39.5729428,-75.9381806
"Brookeville, Maryland",39.1807943,-77.0591072
"Jackson, Michigan",42.2465036,-84.4016963
"Nederland, Texas",29.9743803,-93.9923965
"Averill Park, New York",42.6343578,-73.5537673
"Cheltenham, Maryland",38.7356711,-76.8263594
"Longview, Texas",32.5007038,-94.7404891
"East Point, Georgia",33.6654335,-84.4864894515675
"Hamden, Connecticut",41.3959287,-72.8968716
"Marina Del Rey, California",33.9774017,-118.4508018
"North Potomac, Maryland",39.0982356,-77.2375028680936
"Hingham, Massachusetts",42.2417669,-70.8897676
"Warrensburg, Missouri",38.7627893,-93.7360498
"Reedsport, Oregon",43.7020934,-124.0970834
"Queens, New York",40.6524927,-73.7914213158161
"Bowling Green, Missouri",39.3419891,-91.1951437
"North Creek, New York",43.6774998,-73.9899319
"Brighton, Massachusetts",42.3500971,-71.1564423
"Oxford, Ohio",39.5103048,-84.7420519
"Winston-Salem, North Carolina",36.0998167,-80.2441445
"Smithtown, New York",40.8559314,-73.2006687
"Edinboro, Pennsylvania",41.8742225,-80.1317236
the University of Northern Iowa,42.51010145,-92.4629992145033
"Fairview, Oklahoma",36.2689248,-98.4798009
"Collingswood, New Jersey",39.9181686,-75.071284
"Champlain, New York",44.9864273,-73.4465251
"Mount Kisco, New York",41.2042616,-73.7270761
"Indianapolis, Indiana",39.7683331,-86.1583502
"Maiden, North Carolina",35.5756889,-81.2117474
"Tucker, Georgia",33.851464,-84.223749082896
"Carrollton, Georgia",33.5801103,-85.0766113
"West Jordan, Utah",40.6096698,-111.9391031
"Downingtown, Pennsylvania",40.0064958,-75.7032742
"South Windsor, Connecticut",41.8489872,-72.5717551
"Forest Hills, New York",40.7195766,-73.8448686
"Waltham, Massachusetts",42.3756401,-71.2358004
"La Plata, Maryland",38.5292877,-76.9752514
"Corning, New York",42.1428521,-77.0546903
"Forest City, Arkansas",34.7348248,-94.0771521
"Silver City, New Mexico",32.7725053,-108.2793701
"Kennett Square, Pennsylvania",39.8467243,-75.7115932
"Folsom, California",38.6779591,-121.1760583
"Providence, Rhode Island",41.8239891,-71.4128343
"Decatur, Alabama",34.61881,-87.0515068373485
"Corpus Christi, Texas",27.8002542,-97.3955744
"Struthers, Ohio",41.0525588,-80.6078509
the New York Liberty,41.8012002,-74.74655
"Highland Park, Illinois",42.1816919,-87.8003438
"St. Charles, Illinois",41.9141984,-88.3086977
"Taylorsville, North Carolina",35.9217987,-81.1764719
"Grayslake, Illinois",42.3433518,-88.0412192
"Chandler, Arizona",33.3067132,-111.8408489
"DeBary, Florida",28.878972,-81.3225738195879
"Dana Point, California",33.4669721,-117.6981075
"Bremen, Georgia",33.7212179,-85.1455036
"Grand Rapids, Michigan",42.9632405,-85.6678639
University of California-San Diego,32.88103195,-117.231097932146
"Calabasas, California",34.1446643,-118.6440973
"Suwanee, Georgia",34.0514898,-84.0712997
"Onekama, Michigan",44.363613,-86.2050874
"Scottsdale, Arizona",33.5091215,-111.8992365
"Ottumwa, Iowa",41.0200145,-92.4112963
"Stevensville, Maryland",38.9772741,-76.3199549932497
"Murphy, Texas",33.0151208,-96.6130478
"Bryn Mawr, Pennsylvania",40.0238245,-75.3173405908547
"San Mateo, California",37.496904,-122.3330573
"Tuscaloosa, Alabama",33.2668398,-87.4862182
"Maryville, Tennessee",35.7564719,-83.9704593
"Temple, Pennsylvania",40.4087043,-75.9215962
"Paramus, New Jersey",40.9445428,-74.0754189
"Norwalk, California",33.9092802,-118.0849169
"Creighton, Pennsylvania",40.5872891,-79.7783824
"Houston, Texas",29.7589382,-95.3676974
"Barrington, Rhode Island",41.7407661,-71.3084633
"Mt. Zion, Illinois",39.7714252,-88.8742406
"Hialeah, Florida",25.8670435,-80.2914631205857
"Racine, Wisconsin",42.7261309,-87.7828523
"Phillipsburg, New Jersey",40.6937099,-75.1901761
"Catahoula, Louisiana",31.7294681,-91.8487107
"Granada Hills, California",34.2647247,-118.5231415
"Hardwick, Massachusetts",42.3494042,-72.1989458
"Tinton Falls, New Jersey",40.2890734,-74.0927967
"Glencoe, Illinois",42.1350268,-87.7581188
"Riverside, California",33.9533546,-117.3961623
"Poughkeepsie, New York",41.7065779,-73.9284101
"Worthington, Ohio",40.0931191,-83.017962
"Middletown, Rhode Island",41.5456578,-71.2914388
"Kennebunk, Maine",43.383974,-70.5447751
"Jeffersonville, Pennsylvania",40.1289962,-75.3721281
"Nashville, Tennessee",36.1622296,-86.7743531
"Lyme, New Hampshire",43.8095143,-72.1559219
"Fort Wayne, Indiana",41.0799898,-85.1386015
"Lumberton, New Jersey",39.9659459,-74.8051628
"Elkton, Maryland",39.6067789,-75.8332718
Washington University in St. Louis,38.627222, -90.197778
"Clovis, California",36.8252277,-119.7029194
"Homewood, Illinois",41.5572567,-87.6656015
"Louisville, Colorado",39.977763,-105.1319296
"Sunderland, Massachusetts",42.4667546,-72.5786996
"Barnegat, New Jersey",39.7531754,-74.2229179
"Clarks Summit, Pennsylvania",41.4886892,-75.7085248
"Yellowstone National Park, Wyoming and Montana",44.6, -110.5
"Neenah, Wisconsin",44.1858193,-88.462609
"Incline Village, Nevada",39.251597,-119.9723433
"Montclair, New Jersey",40.8259332,-74.2090344
"Yale University from Wilmington, North Carolina",34.223333, -77.912222
"St. Albans, West Virginia",38.3856488,-81.836241
"Pacific Palisades, California",34.0480643,-118.5264706
"Huntingdon Valley, Pennsylvania",40.1226101,-75.0635049
"Billings, Montana",45.7874957,-108.49607
"Traverse City, Michigan",44.7606441,-85.6165301
"Trophy Club, Texas",32.9979014,-97.1836246
"Peabody, Massachusetts",42.5278731,-70.9286609
"Lancaster, Texas",32.5920798,-96.7561083
"Harlem, New York",40.8078786,-73.9454154
"Wynnewood, Pennsylvania",40.0028514,-75.2707469
"Pollocksville, North Carolina",35.0059914,-77.2210654
"Spokane, Washington",47.6588603,-117.4247134
"Cheshire, Connecticut",41.4989861,-72.900658
"Westminster, Colorado",39.856637,-105.035482623134
"Glastonbury, Connecticut",41.7123218,-72.608146
"Topeka, Kansas",39.0490111,-95.6775557
"Freeport, Illinois",42.2966861,-89.6212271
"Sautee, Georgia",34.6845396,-83.6807322
"Billerica, Massachusetts",42.5584264,-71.268947
"Hillsborough, California",37.5741032,-122.3794163
"Brunswick, Georgia",31.1499528,-81.4914894
"Centerville, Ohio",39.6283928,-84.1593818
"Fresh Meadows, New York",40.7348246,-73.7934668
"Westing, Massachusetts",42.3, -71.8
"Clarendon Hills, Illinois",41.7975307,-87.9547835
"Chesterfield, Missouri",38.6560565,-90.5742029
"Tumwater, Washington",47.0077652,-122.9110785
"Greece, New York",43.2097838,-77.6930602
"Madison, Georgia",34.1307533,-83.1817407
"Port Jefferson, New York",40.9464875,-73.0692732
"Walden, New York",41.5612048,-74.1884806
"Norwalk, Connecticut",41.1175966,-73.4078968
"Burke, Virginia",38.7771321,-77.2754691
"Sacremento, California",38.555556, -121.468889
the University of Southern California,34.0219686,-118.28586932612
"Bradenton, Florida",27.4989278,-82.5748194
"Roselle, New Jersey",40.6503925,-74.260883227524
"Scarborough, Maine",43.596236,-70.3300408715606
"Wheeling, West Virginia",40.0639616,-80.7209149
"Jackson, California",38.3511995,-120.7717719
"Fairfield, California",38.2493581,-122.0399663
"Indiana, Pennsylvania",40.6214551,-79.1525349
"Madison, New Jersey",40.7598227,-74.417097
"Hyannisport, Massachusetts",41.636222,-70.3203
"Swansea, Massachusetts",41.7481575,-71.1897684
"Mount Vernon, Ohio",40.3933956,-82.4857181
"Ilion, New York",43.0150703,-75.0354347
"Riverdale, Illinois",41.6333678,-87.6331021
"Reisterstown, Maryland",39.4695489,-76.8294213
"Colchester, Vermont",44.5476838,-73.1557176
"Fletcher, Vermont",44.6833829,-72.9137455
"Kittery, Maine",43.0881441,-70.736164
"Willits, California",39.4096043,-123.3555602
"Bayport, New York",40.7384317,-73.0506656
"Lower Merion, Pennsylvania",40.0248062,-75.2766159450699
"Fort Mitchell, Kentucky",39.0595047,-84.5474432
"the University of California, Berkeley from Cupertino, California",37.3175, -122.041944
"Cottonwood, Arizona",34.7391876,-112.0098791
"Moscow, Idaho",46.7323875,-117.0001651
"Mount Ida, Arkansas",34.4956532,-93.6410249
"Baltimore, Maryland",39.2908608,-76.6108073
"Minnetonka, Minnesota",44.9127229,-93.499059
"Effingham, Illinois",39.1201433,-88.54348
"Hyde Park, Massachusetts",42.2556543,-71.1244963
"Elmhurst, Illinois",41.8994745,-87.9403418
"West Hartford, Connecticut",41.7620447,-72.7420399
Connecticut,41.6500201,-72.7342163
"Watson, Louisiana",30.5757431,-90.9531574
"Bountiful, Utah",40.8894611,-111.8804817
"the University of North Dakota from Grand Forks, North Dakota",47.925278, -97.0325
"North Granby, Connecticut",41.9539855,-72.7887071
"Asheville, North Carolina",35.6009498,-82.5540161
"South Milwaukee, Wisconsin",42.9105722,-87.8606367
"Des Moines, Iowa",41.5910641,-93.6037149
"Orem, Utah",40.2975185,-111.6944685
"Maumelle, Arkansas",34.8667565,-92.4043219
"Barnesville, Georgia",33.0545709,-84.1557496
"Canton, Massachusetts",42.1584324,-71.1447732
"Johnson City, Tennessee",36.3134398,-82.3534728
"Lakeland, Florida",28.0394654,-81.9498042
"Madison, Connecticut",41.2794282,-72.5983151
"Richmond, Michigan",42.8091969,-82.7557554
"Berkeley, California",37.8708393,-122.2728639
"Platteville, Wisconsin",42.7342942,-90.4784451
"Darien, Connecticut",41.0787079,-73.4692873
"Old Town, Maine",44.9342349,-68.6453092
"St. Augustine, Florida",29.894691,-81.314517
"Manchester, Connecticut",41.7759324,-72.5214755
the University of California-Berkeley,37.87631055,-122.238859169444
"Omaha, Nebraska",41.2587317,-95.9378732
"Lima, Ohio",40.742551,-84.1052256
"Northridge, California",34.2285918,-118.5369316
"Barlow, Kentucky",37.0517194,-89.0467346
"Centereach, New York",40.8584316,-73.0995539
"Wethersfield, Connecticut",41.7142665,-72.6525922
"Arden, North Carolina",35.4662258,-82.51651
"West Peoria, Illinois",40.6925376,-89.627877
"Hampden Sydney, Virginia",37.2423746,-78.4597173
"Brookline, Massachusetts",42.3317642,-71.1211635
"Tallmadge, Ohio",41.1014865,-81.4418151
"Ardencroft, Delaware",39.8053325,-75.4857080386957
"Groves, Texas",29.9482695,-93.9171155
"Great Barrington, Massachusetts",42.20767315,-73.3491862093459
"Weehawken, New Jersey",40.7695457,-74.0204177
"Bartlesville, Oklahoma",36.7473114,-95.9808179
"Troy, Michigan",42.6055893,-83.1499304
"Coral Gables, Florida",25.6905515,-80.235008879837
"Dobbs Ferry, New York",41.0145418,-73.872635
"Buena Park, California",33.870413,-117.9962165
"Oak Brook, Illinois",41.8328085,-87.9289504
"Ashburn, Virginia",39.0437192,-77.4874899
"Westminster, Maryland",39.5752639,-76.9959277
"Bala Cynwyd, Pennsylvania",40.0076125,-75.2340695
"Wayland, Massachusetts",42.3632063,-71.3606721
"West Norriton, Pennsylvania",40.1295515,-75.3785172
"Kissimmee, Florida",28.2920249,-81.4078013
"Rockwall, Texas",32.9312336,-96.4597089
